uncompleted_cases,Resource 11,Resource 12,total_reward,mean_cycle_time,std_cycle_time
2587,0.9106251361324254,0.0,0,2523.5457770971084,1454.610822624907
2564,0.9174514413022924,0.0,0,2496.8347443891275,1437.980170222201
2495,0.8752529541856681,0.0,0,2509.803924090413,1432.6040055522574
2581,0.9248399044207017,0.0,0,2513.3736504512954,1447.8286091972477
2576,0.9072694892687563,0.0,0,2516.111440075977,1449.2977236186468
2498,0.8948737688010575,0.0,0,2494.6098431846945,1421.3995369412291
2462,0.9130968496349026,0.0,0,2547.8185700230706,1446.4125654682791
2492,0.882499739876016,0.0,0,2479.6869119543635,1465.0320156463551
2468,0.8658535412241759,0.0,0,2486.6541909086704,1430.0186702178594
2444,0.9031465669737523,0.0,0,2525.8087773939646,1443.0201933076416
2461,0.8845664315735646,0.0,0,2475.286701945267,1411.4425289012004
2444,0.8672656066202133,0.0,0,2489.7817369705435,1459.4848270078426
2496,0.9084423459344105,0.0,0,2521.667649918231,1441.3063710599838
2469,0.9058956247442688,0.0,0,2487.629683614022,1438.6951796771968
2487,0.9142453502530896,0.0,0,2481.774184028188,1432.2729131754086
2628,0.9519598839369035,0.0,0,2478.300866839683,1447.494864308485
2541,0.956069566985297,0.0,0,2509.2152013335053,1411.9789182888646
2472,0.8797139044746517,0.0,0,2521.582787243791,1467.6553741907105
2527,0.9149080161022212,0.0,0,2478.208171747726,1454.787639534244
2543,0.9325253300530912,0.0,0,2458.89572316568,1427.6520729545794
2579,0.9399038741703618,0.0,0,2518.774174014273,1457.3105627395553
2421,0.9162170357697907,0.0,0,2523.410519874875,1440.7198579262686
2556,0.9039816167996767,0.0,0,2524.763348616379,1454.2036015993417
2511,0.8892875723276739,0.0,0,2484.553804393216,1428.1367843389837
2463,0.8799919579549061,0.0,0,2490.233873105633,1438.6578062016747
2561,0.9289318056794428,0.0,0,2487.547242194521,1428.0980014924792
2594,0.9221239461480559,0.0,0,2496.5536722845927,1450.3977990892038
2524,0.9167647421242374,0.0,0,2471.148171096587,1441.187988002091
2501,0.9071803104920453,0.0,0,2469.081692392155,1444.8825843379143
2557,0.933792078328681,0.0,0,2479.0780848528366,1458.1787918211835
2522,0.8757199120960438,0.0,0,2460.2389117213493,1455.5882166396734
2451,0.9039957996248175,0.0,0,2498.0125466833556,1442.5573419663817
2528,0.9163922818811541,0.0,0,2434.5477672138068,1425.5675040704714
2497,0.8873581113362615,0.0,0,2483.7628713444337,1438.233142272921
2541,0.9093490517374395,0.0,0,2491.2653869639857,1453.430725392938
2450,0.8730868052793801,0.0,0,2504.0495378417113,1428.7700291850533
2402,0.8607974960657588,0.0,0,2502.2309892357302,1424.9743509866964
2433,0.8925112287606373,0.0,0,2490.2739331935913,1448.1894921552057
2541,0.8813732328724208,0.0,0,2514.0450203941054,1452.1404984311055
2502,0.8766268420374385,0.0,0,2460.8143661112954,1435.4980646229606
2488,0.8821178083157228,0.0,0,2490.1347455995924,1400.1795442832124
2445,0.8646548428517844,0.0,0,2513.2795772866502,1433.371800563585
2471,0.8723650427168615,0.0,0,2539.075297768709,1457.2349012934917
2399,0.877145598789762,0.0,0,2480.355751974175,1428.4563116043862
2529,0.8774622324906444,0.0,0,2470.3341383666684,1444.0446588841276
2519,0.9110313956697104,0.0,0,2469.7636445416306,1442.1397054650226
2584,0.927320568186645,0.0,0,2495.122848694593,1442.5070945447271
2489,0.8884541182564217,0.0,0,2536.342533004436,1470.8913862674451
2387,0.8948391093684167,0.0,0,2489.8179538693153,1435.309407389377
2512,0.8849046609203765,0.0,0,2481.6003805694404,1441.067098543741
2530,0.8859054874252029,0.0,0,2502.339977077321,1448.6884091861612
2517,0.9219699130552406,0.0,0,2432.913688700872,1460.456597752017
2515,0.8994195787410939,0.0,0,2559.8051571798132,1452.9618601809912
2511,0.8740367132069728,0.0,0,2515.571303695846,1438.028485571336
2544,0.9214617896819125,0.0,0,2502.1372304582706,1441.8041835386907
2589,0.9194412604197654,0.0,0,2479.867524103586,1453.840917655298
2590,0.9246686275324578,0.0,0,2487.4468222511427,1447.2490349091308
2439,0.898440066840858,0.0,0,2444.7504715622686,1448.3005118093304
2519,0.8870788225020062,0.0,0,2512.5829508802776,1452.5369124991382
2472,0.8845361083355295,0.0,0,2463.9965727979543,1431.7608695770361
2486,0.9091948443132418,0.0,0,2452.935660242287,1397.0624899221314
2626,0.9230252310765505,0.0,0,2468.9328683691174,1451.357908658805
2509,0.911528360184169,0.0,0,2506.567486843442,1437.852855524594
2423,0.8520653963043202,0.0,0,2443.3902016842103,1427.4284792076849
2549,0.9193649315107254,0.0,0,2515.899390866126,1443.6849550493898
2499,0.9383792335726514,0.0,0,2566.0000830416384,1429.7207720134138
2495,0.894855445168794,0.0,0,2525.279166604249,1460.830992500684
2550,0.9066568689218908,0.0,0,2466.098031017388,1433.7664664927843
2431,0.8611122294490559,0.0,0,2535.167885005169,1469.9093167649826
2493,0.8614631533019729,0.0,0,2489.199422261057,1456.2110171420402
2589,0.9333772105708774,0.0,0,2495.258883549066,1447.7480005477269
2484,0.8640594175983675,0.0,0,2457.6503095935177,1463.1395230194069
2507,0.8719533316366859,0.0,0,2468.6942504996914,1449.5406965659959
2527,0.9232436070379958,0.0,0,2557.648665685175,1454.265032715636
2451,0.8823492948009581,0.0,0,2481.204213055218,1440.2505106111198
2492,0.897690124609058,0.0,0,2507.6888641590276,1440.800916485481
2413,0.876592152206422,0.0,0,2499.79674216554,1471.5506432768639
2544,0.8858118916048782,0.0,0,2532.970118696743,1440.2325264851324
2523,0.9158302134278618,0.0,0,2494.4613270350246,1454.042330103431
2545,0.9330667270493672,0.0,0,2501.978909204301,1441.762968443098
2534,0.9090063651782655,0.0,0,2502.889506812074,1422.4717569441818
2531,0.90206097618366,0.0,0,2467.4522955490247,1446.4369417322036
2509,0.9062267970162511,0.0,0,2561.579669531224,1440.805731572806
2534,0.8979278976135744,0.0,0,2540.598642463973,1427.3825656291203
2486,0.8675931055272671,0.0,0,2473.873233710746,1417.8731886767214
2551,0.9124367473779361,0.0,0,2560.109407951088,1456.3748232170362
2510,0.9202955025494506,0.0,0,2479.12388260701,1422.0560774652265
2521,0.8922386420419681,0.0,0,2503.6557986459848,1443.0912721337352
2445,0.8873688178776503,0.0,0,2524.471981350303,1465.684638020194
2648,0.9339875576259419,0.0,0,2455.135592281348,1461.5484974977915
2404,0.8721837455503796,0.0,0,2460.5264238628333,1437.24309188607
2485,0.9184688343654587,0.0,0,2491.557208227919,1427.469732300533
2502,0.8671184842853847,0.0,0,2494.7464032767275,1448.9405015750422
2484,0.914345923760975,0.0,0,2493.77540102905,1431.930549128377
2522,0.9160768743395503,0.0,0,2491.1383174722546,1453.797934537208
2500,0.9132374630388853,0.0,0,2506.01537944123,1447.6871498725668
2493,0.8812040698824176,0.0,0,2499.3341696252364,1435.9932468884235
2453,0.8958061344521826,0.0,0,2486.2369731318595,1433.5680955156308
2598,0.9278087662338501,0.0,0,2487.7309547428913,1450.353042497359
2491,0.9148298939769378,0.0,0,2493.1574619583835,1421.8818354302957
