uncompleted_cases,Resource 7,Resource 8,total_reward,mean_cycle_time,std_cycle_time
1345,0.0,0.9985944761953286,-6725000,1320.215880766387,753.6199787541973
1274,0.0,0.9989555933365504,-6370000,1323.975525339047,749.0607165200936
1270,0.0,0.9991521028461415,-6350000,1275.7082023522717,750.9192147267011
1339,0.0,0.9980831439067837,-6695000,1343.8159738537433,751.6441634579426
1222,0.0,0.9993301371295115,-6110000,1205.0471793994575,698.6757446797694
1206,0.0,0.9994544092707874,-6030000,1305.9904744502264,746.9380982141103
1215,0.0,0.9997642536119783,-6075000,1249.6394698657002,702.2471075719687
1317,0.0,0.9999223301076828,-6585000,1363.3621479998826,782.1717595103692
1337,0.0,0.9995294518513279,-6685000,1276.0056817580144,747.5034221541822
1350,0.0,0.998963936635318,-6750000,1426.5694942857463,825.9881160942751
1178,0.0,0.9985749432391215,-5890000,1325.237262484316,735.7821687608067
1173,0.0,0.9998860508687858,-5865000,1219.8768908061859,676.4957855827936
1294,0.0,0.9995168747806165,-6470000,1340.2803181055392,755.435715665446
1233,0.0,0.9991393957614777,-6165000,1273.3302693610242,733.7912722022218
1209,0.0,0.9991071811750452,-6045000,1181.8138877542895,698.93800433352
1214,0.0,0.9991579497479838,-6070000,1246.7273344643272,698.1535552338515
1315,0.0,0.9998096675794202,-6575000,1275.3770900435236,757.1452604271116
1294,0.0,0.9993050297346695,-6470000,1246.3126946572684,725.053375950491
1205,0.0,0.9995978932652432,-6025000,1182.4151475818142,715.6749886872941
1218,0.0,0.9997645358344096,-6090000,1237.6127780819654,703.0910938735514
1371,0.0,0.996971277291829,-6855000,1404.7888186551654,800.6700970749869
1394,0.0,0.9989768441619205,-6970000,1326.4651344329297,754.5131093912556
1250,0.0,0.9993175916859858,-6250000,1185.1755548771844,716.9613549260216
1314,0.0,0.9989122539440741,-6570000,1331.235956504602,763.0248727365987
1294,0.0,0.9994678896896808,-6470000,1290.8414383474187,721.8284841803003
1294,0.0,0.9998693290259467,-6470000,1281.0411393877737,764.7917491611996
1160,0.0,0.9990912014388165,-5800000,1211.0720790579237,713.8250340782758
1152,0.0,0.9996949964975309,-5760000,1185.7073218290686,692.1023602376039
1349,0.0,0.9997106505588307,-6745000,1353.3875415994246,789.4245840451115
1322,0.0,0.9999470529546747,-6610000,1310.243031632489,737.5010330220989
1412,0.0,0.9989073136833023,-7060000,1278.719079345436,773.5944345786796
1304,0.0,0.9992848248635652,-6520000,1306.617868400985,750.8438952763017
