uncompleted_cases,Resource 3,Resource 4,total_reward,mean_cycle_time,std_cycle_time
1551,0.9995967571980131,0.0,-7755000,1564.7920095141187,887.345422715824
1489,0.9997536090922329,0.0,-7445000,1537.0010033921126,873.754335033555
1508,0.9991405766038948,0.0,-7540000,1478.45793026451,872.3602522628626
1574,0.9970658979642251,0.0,-7870000,1598.3041409847503,896.7944299320973
1408,0.9993315500934976,0.0,-7040000,1432.0064085046158,833.5186978724341
1441,0.9992941216640892,0.0,-7205000,1460.43729344178,858.1882559249634
1477,0.9986737185139067,0.0,-7385000,1522.1911625847463,860.1748124254373
1520,0.9996001696107409,0.0,-7600000,1451.566102104585,848.3466732443454
1465,0.9998233971507039,0.0,-7325000,1509.5207191838438,863.2645151768947
1548,0.9997272730975153,0.0,-7740000,1524.0027047571034,890.144876963293
1427,0.9990138532541477,0.0,-7135000,1410.8283956525859,836.8315695204581
1530,0.9981088213235216,0.0,-7650000,1537.128315334293,875.4218672450774
1651,0.9986781210449737,0.0,-8255000,1577.2016654548936,888.4845095368801
1549,0.9991197807670331,0.0,-7745000,1474.9830845259332,881.3787660630322
1414,0.9995965680502877,0.0,-7070000,1433.7777586215702,779.9667722651403
1365,0.9984156323965905,0.0,-6825000,1448.876160718749,812.6756016496166
1430,0.9993946296429763,0.0,-7150000,1486.3645438009924,854.6865965171572
1491,0.9998519224093451,0.0,-7455000,1434.0398783270834,840.142359125862
1425,0.99641924100737,0.0,-7125000,1375.0812440482139,814.3226916534405
1433,0.9993065607010391,0.0,-7165000,1448.5143191207362,868.8702783756833
1544,0.9991661799404338,0.0,-7720000,1529.8361468530368,878.3796584169937
1506,0.9997438267553432,0.0,-7530000,1528.0680058979942,886.5064428273081
1412,0.9986542013760928,0.0,-7060000,1465.0107549585787,844.5131107744724
1494,0.9998219208732678,0.0,-7470000,1472.6145359319482,852.0365797134432
1537,0.9999864403268782,0.0,-7685000,1567.1183357397933,908.5460652913913
1567,0.9999730522546113,0.0,-7835000,1482.0317207700966,850.3662594350641
1501,0.9998748748823882,0.0,-7505000,1572.1901759424568,865.1719192240527
1338,0.9999090315518955,0.0,-6690000,1371.8851399350606,802.0376346838507
1429,0.9998634188853953,0.0,-7145000,1372.1273157990884,822.395785702567
1417,0.9990755411675915,0.0,-7085000,1426.3754557133989,836.8497077589857
1379,0.9993049903402318,0.0,-6895000,1371.4983528351856,788.4609610726455
1385,0.9987906341415772,0.0,-6925000,1478.8377509791299,838.1083370103477
1612,0.9991563102082212,0.0,-8060000,1551.0735479415089,885.8977482830205
1495,0.9998366701981793,0.0,-7475000,1550.792264367899,869.89695702438
1458,0.9992480709863206,0.0,-7290000,1427.7964208287588,840.5530695023383
1392,0.9982354536400904,0.0,-6960000,1398.3365196085194,795.5138442536685
1470,0.999469884835383,0.0,-7350000,1515.8055850096932,866.0950354506214
1409,0.9983456188905199,0.0,-7045000,1494.4859026338768,842.6828682261815
1432,0.9987899521093772,0.0,-7160000,1427.0712250153335,823.7521584798352
1542,0.9977836382609172,0.0,-7710000,1456.8471150743912,856.3889636385584
1592,0.9987827607765497,0.0,-7960000,1527.177328898354,911.9984564155434
1468,0.9989854902860721,0.0,-7340000,1454.0788358685254,829.1988895105932
1507,0.9991651736234759,0.0,-7535000,1456.6487945281917,858.9134880614047
1460,0.9982660245341438,0.0,-7300000,1503.2299045918062,868.0764881618129
1518,0.9996894849199731,0.0,-7590000,1449.5244768364803,833.0403846412106
1488,0.9993538289564425,0.0,-7440000,1454.1693554668338,844.7372091812156
1555,0.9986555657162333,0.0,-7775000,1496.3003796536557,890.2434245739802
1446,0.9995346056780378,0.0,-7230000,1487.8224479591277,860.4029293798184
1482,0.9984778286732606,0.0,-7410000,1511.707470500386,857.7693488471715
1467,0.9997913215594845,0.0,-7335000,1468.0022174187739,849.148123885977
1621,0.9993929730328569,0.0,-8105000,1544.9680661383622,871.3277619375995
1460,0.9998839957682649,0.0,-7300000,1514.7197136831082,877.0398141942718
1463,0.999295711889231,0.0,-7315000,1430.8624854928241,834.906315423097
1472,0.9997335614034766,0.0,-7360000,1460.307407008852,850.4295725910589
1474,0.9995438677108123,0.0,-7370000,1453.7354456971416,829.9869034934561
1492,0.998849370816489,0.0,-7460000,1517.0460620755377,880.0868668876822
1507,0.9993561779769845,0.0,-7535000,1489.4264215495457,864.1825817364531
1404,0.9998602600479531,0.0,-7020000,1490.8886535320507,840.3261621815012
1646,0.9992332917310247,0.0,-8230000,1593.2610492999645,895.992593277271
1501,0.9999649017642294,0.0,-7505000,1424.7904239259822,840.1860975014519
1406,0.9998224661524908,0.0,-7030000,1318.4369394276375,794.6746282256328
1425,0.9996510363321953,0.0,-7125000,1414.0748427586136,828.8129144408932
1538,0.9990495059683442,0.0,-7690000,1472.5814245841955,867.8654767849707
1613,0.9996604258714576,0.0,-8065000,1598.4266121833098,915.7029840714937
1437,0.99969063612645,0.0,-7185000,1465.7494375342349,828.7070717537622
1541,0.9990205694462168,0.0,-7705000,1453.0869534821313,864.4923469409285
1527,0.9993171815469445,0.0,-7635000,1557.0786430968506,888.3464720010543
1478,0.9997413960172767,0.0,-7390000,1526.7408976652666,852.568945013847
1389,0.9976475999115255,0.0,-6945000,1469.4003320976306,844.891464718438
1440,0.9993213664225413,0.0,-7200000,1471.1959887128614,863.0425342196662
1634,0.9998846280294058,0.0,-8170000,1570.8985499318683,898.9793396670547
1595,0.9998516870182786,0.0,-7975000,1552.1043577669323,871.9324418405123
1488,0.9995948356740686,0.0,-7440000,1442.0463513980637,852.3537640342324
1508,0.9981502340886962,0.0,-7540000,1499.2983245102996,863.9997052681774
1420,0.9996882184794289,0.0,-7100000,1396.165788044383,823.8412019513589
1395,0.995997729516682,0.0,-6975000,1418.3553071472256,812.3768937439567
1435,0.999723300828753,0.0,-7175000,1453.604701265659,838.9838573541067
1470,0.99902004045348,0.0,-7350000,1487.8524267976188,827.5485212431752
1512,0.9974262279065697,0.0,-7560000,1560.1063412423998,897.458386769895
1398,0.9987408176727548,0.0,-6990000,1412.2487556571632,828.7056949709073
1570,0.9996491083628731,0.0,-7850000,1610.0610391795474,950.7555404013123
1474,0.9990992329301929,0.0,-7370000,1421.8288346225108,819.5978544313886
1467,0.9995562985055645,0.0,-7335000,1496.4911638353926,868.9465447887663
1390,0.9992344916601461,0.0,-6950000,1355.3178253636556,764.870484682433
1443,0.9980257746342648,0.0,-7215000,1390.6481964994882,794.9235351084095
1529,0.9998733321565781,0.0,-7645000,1500.1130821397387,870.3131399733841
1488,0.9990223740451902,0.0,-7440000,1403.0855501593146,814.9687849225164
1483,0.9995331822973259,0.0,-7415000,1454.205095818041,838.4014413325446
1516,0.9999857696015466,0.0,-7580000,1492.7419891075685,876.387367629263
1575,0.9993401712546564,0.0,-7875000,1553.4951886842766,903.3496482726139
1478,0.9992783692937781,0.0,-7390000,1497.4267429172712,867.2677867375029
1486,0.9995009581390925,0.0,-7430000,1468.4417184509027,830.6158481806367
1485,0.9996701963720036,0.0,-7425000,1476.2085571013088,850.2329911071597
1551,0.99987063179638,0.0,-7755000,1594.9238462669282,875.1357018885174
1464,0.9999969319684112,0.0,-7320000,1483.1011688230294,850.7168944978035
1498,0.9998924495418465,0.0,-7490000,1529.5849900093958,862.8169098900424
1343,0.9980275190103294,0.0,-6715000,1396.035129510163,809.9647022371792
1459,0.9999684917930063,0.0,-7295000,1505.1378464310815,878.8707156008483
1408,0.9995961605691618,0.0,-7040000,1438.5583755120863,809.0452680638106
1587,0.9995852863497785,0.0,-7935000,1595.8962156341738,895.6721627599973
