#{"t_start": 1701634951.5777035, "env_id": "None"}
r,l,t
149.523958,3815,4.456599
120.684427,3926,8.748189
99.129876,3972,13.137266
120.482279,3852,17.337847
105.054728,4045,22.211029
136.472613,4018,26.885744
146.119385,3776,37.186285
182.312028,3670,42.141055
180.003818,3716,46.929252
188.594122,3810,51.840134
211.46374,3589,56.479575
176.800561,3541,61.11917
176.834969,3765,65.822593
227.597318,3554,76.443663
251.461688,3495,81.138634
282.558502,3476,85.472074
264.596559,3424,90.267251
302.245366,3398,94.463027
277.439125,3498,98.829917
255.243491,3434,103.669969
321.306253,3476,114.545459
327.820443,3215,118.141854
408.938059,3182,121.891823
397.714715,3212,125.358485
388.35216,3305,128.981794
375.840396,3135,132.353738
396.698339,3186,135.857364
392.927234,3227,139.305198
374.921835,3248,148.271135
475.644747,3009,151.536562
481.713209,3047,154.690126
455.95457,3047,157.75096
453.049552,3091,161.017521
425.824269,3038,164.171379
501.695879,3026,167.511446
500.977317,3022,170.790269
502.817143,3108,174.148508
536.886315,2991,183.401163
484.0948,3010,186.981591
501.659986,2981,190.350867
542.726338,2898,193.435616
470.671088,2888,196.514309
523.892405,2939,199.620446
539.675744,2881,202.633998
562.438225,2899,205.695114
458.350756,2900,214.370675
531.371216,2880,217.52679
557.610204,2920,221.050797
545.88767,2923,225.032045
552.01331,2764,228.277414
519.1452,2741,231.821737
573.052645,2768,235.382677
535.306636,2893,239.046859
562.957835,2772,242.296396
583.267879,2823,251.881765
585.013856,2781,255.20951
584.602222,2759,258.441751
587.431666,2762,261.574929
586.924659,2681,264.613149
575.258858,2784,267.90993
610.337694,2546,270.863316
625.604773,2723,274.126623
575.220603,2732,277.305214
547.207177,2757,280.262311
563.086687,2654,288.946898
579.05304,2637,291.899939
598.11134,2772,295.042519
583.599058,2691,298.052641
609.478667,2658,300.988826
579.415535,2686,303.993802
607.034214,2694,307.04566
558.395073,2769,310.163898
677.147722,2809,313.348381
609.542793,2616,322.438752
613.960589,2683,325.632211
628.660406,2535,328.946467
591.165732,2665,331.966719
596.156917,2639,334.78628
594.678084,2549,337.401286
614.351355,2631,340.429262
596.045335,2691,343.226796
571.645386,2692,345.960054
630.724583,2700,348.558504
663.675168,2619,356.068225
632.162683,2544,358.618426
644.08201,2603,361.314217
650.232971,2583,364.14375
